hgnc_id	geneSymbol	name	gene_group	main_gene_group	gene_type	locus_type	status	location	location_sortable	alias_symbol
HGNC:1102	BRD1	bromodomain containing 1	PHD finger proteins|PWWP domain containing|Bromodomain containing	Bromodomain containing	BRD	gene with protein product	Approved	22q13.33	22q13.33	BRL|BRPF2
HGNC:1103	BRD2	bromodomain containing 2	Bromodomain and extra-terminal domain family|Bromodomain containing	Bromodomain containing	BRD	gene with protein product	Approved	6p21.32	06p21.32	KIAA9001|RING3|D6S113E|NAT|FSRG1
HGNC:1104	BRD3	bromodomain containing 3	Bromodomain and extra-terminal domain family|Bromodomain containing	Bromodomain containing	BRD	gene with protein product	Approved	9q34.2	09q34.2	RING3L|ORFX|KIAA0043
HGNC:13575	BRD4	bromodomain containing 4	Bromodomain and extra-terminal domain family|Bromodomain containing	Bromodomain containing	BRD	gene with protein product	Approved	19p13.12	19p13.12	HUNKI|MCAP|CAP|HUNK1
HGNC:14310	BRD7	bromodomain containing 7	Bromodomain containing|PBAF complex	Bromodomain containing	BRD	gene with protein product	Approved	16q12.1	16q12.1	CELTIX1|BP75|SMARCI1
HGNC:19874	BRD8	bromodomain containing 8	Bromodomain containing|Tip60/Nua4 histone acetyltransferase complex subunits	Bromodomain containing	BRD	gene with protein product	Approved	5q31.2	05q31.2	SMAP|p120
HGNC:25818	BRD9	bromodomain containing 9	Bromodomain containing|BAF complex|GBAF complex	Bromodomain containing	BRD	gene with protein product	Approved	5p15.33	05p15.33	FLJ13441|SMARCI2
HGNC:1840	CECR2	CECR2 histone acetyl-lysine reader	Bromodomain containing	Bromodomain containing	BRD	gene with protein product	Approved	22q11.1-q11.21	22q11.1-q11.21	KIAA1740
HGNC:4916	HIRA	histone cell cycle regulator	WD repeat domain containing|HIRA histone chaperone complex subunits	Bromodomain containing	BRD	gene with protein product	Approved	22q11.21	22q11.21	DGCR1|TUP1
HGNC:11098	SMARCA2	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2"	Bromodomain containing|BAF complex|GBAF complex	Bromodomain containing	BRD	gene with protein product	Approved	9p24.3	09p24.3	BAF190|hSNF2a|hBRM|Sth1p|SNF2LA|BRM|SNF2|SWI2
