ID	Symbols	Sites	Feature	Effect	HRD3Avs2A_2A	HRD3Avs2A_3A
AMPD2-R	AMPD2		R		0.375178367026464	-0.375178367026464
PKN2-P-S302	PKN2	S302	P		0.5701163662711011	-0.570116366271099
AFTPH-R	AFTPH		R		-0.0486196391401073	0.0486196391401078
TANC1-P-S270	TANC1	S270	P		-0.982385962280612	0.9823859622806108
LRRN1-R	LRRN1		R		0.806462722585769	-0.806462722585773
CCNB3-R	CCNB3		R		-0.269571217626813	0.26957121762682
AHNAK-P-T651	AHNAK	T651	P		0.228650339823861	-0.22865033982386
RFPL1-R	RFPL1		R		0.630644375877359	-0.630644375877362
CAMSAP3-P-S905	CAMSAP3	S905	P		-0.8967712786352691	0.896771278635268
LONRF3-R	LONRF3		R		0.451606273099135	-0.45160627309914
EIF4G1-P-S1216	EIF4G1	S1216	P		-0.5682075863842491	0.568207586384248
ESYT2-P-S727	ESYT2	S727	P		-0.967167378667777	0.967167378667777
ITGB4-P-S1517	ITGB4	S1517	P		-0.922716616276018	0.922716616276016
PDE4D-P-S348	PDE4D	S348	P		0.974213975693352	-0.974213975693352
PGAM1-P-S118	PGAM1	S118	P		0.111867622195863	-0.111867622195863
MAGEA3-R	MAGEA3		R		-0.8387911863549019	0.8387911863548991
AC119676.1-R	AC119676.1		R		-0.9003105937962129	0.900310593796225
LIG1-P-S4-S7	LIG1	S4|S7	P		0.7296442174783381	-0.7296442174783381
VIPAS39-P-S93	VIPAS39	S93	P		-0.800140939521831	0.800140939521831
PLPP6-P-S63	PLPP6	S63	P		-0.645898727443095	0.645898727443095
COL13A1-G	COL13A1		G		0.158771894630585	-0.158771894630584
TBC1D15-P-S666	TBC1D15	S666	P		0.8382520441038421	-0.8382520441038421
RHBDF1-P-S92	RHBDF1	S92	P		0.244604525902794	-0.244604525902794
SPDYC-R	SPDYC		R		0.977169145760818	-0.9771691457608142
SEC16A-P-S1347	SEC16A	S1347	P		-0.9300655834945832	0.9300655834945832
QRICH2-R	QRICH2		R		-0.8111183635756729	0.81111836357567
LAD1-P-S485	LAD1	S485	P		-0.7389533439143179	0.7389533439143179
ATP13A5-R	ATP13A5		R		0.358932645396387	-0.358932645396383
CHM-R	CHM		R		-0.7000602021682399	0.7000602021682351
MBP-P-S26	MBP	S26	P		0.925057660215074	-0.925057660215073
MRPL48-R	MRPL48		R		-0.7794284083840358	0.7794284083840309
MISP-P-S543	MISP	S543	P		-0.986636114080536	0.986636114080537
DHFR-G	DHFR		G		-0.0569300110443608	0.0569300110443609
SETSIP-R	SETSIP		R		-0.8342210433256991	0.834221043325707
PKM-P-S437	PKM	S437	P		-0.876022035437229	0.8760220354372281
CTAG1B-R	CTAG1B		R		0.958765162186375	-0.9587651621863772
ATP1A1-P-S653	ATP1A1	S653	P		0.8152743993177259	-0.815274399317725
C3-P-S297	C3	S297	P		-0.441805624168395	0.441805624168395
POTEB2-R	POTEB2		R		0.875843867502947	-0.8758438675029391
RAI14-P-S40	RAI14	S40	P		0.6719419324788609	-0.6719419324788621
DGAT1-P-S18	DGAT1	S18	P		-0.5686069159971129	0.5686069159971121
MARK3-P-S587	MARK3	S587	P		-0.7766157086276031	0.776615708627605
AFDN-P-S1697	AFDN	S1697	P		0.8639298153831201	-0.863929815383119
NPIPB9-R	NPIPB9		R		0.775979071381917	-0.7759790713819109
ARAF-P-S157	ARAF	S157	P		-0.963411231155	0.963411231155
EIF4ENIF1-P-S78	EIF4ENIF1	S78	P		-0.91527900590914	0.915279005909139
MYBPC1-G	MYBPC1		G		-0.0302387105682477	0.0302387105682477
ASPM-P-S605	ASPM	S605	P		-0.764139537226483	0.764139537226483
VAPA-P-S259	VAPA	S259	P		-0.946927109829884	0.946927109829884
ULK3-R	ULK3		R		-0.218717457726753	0.218717457726752
SFPQ-P-T476	SFPQ	T476	P		-0.6177390288656689	0.6177390288656689
NUP98-P-S1047	NUP98	S1047	P		-0.6541249537124589	0.6541249537124589
LRRC10B-R	LRRC10B		R		-0.141101218599334	0.141101218599333
TEPSIN-P-S203	TEPSIN	S203	P		-0.5893075537855451	0.589307553785544
TTN-P-S308	TTN	S308	P		-0.873658465079712	0.873658465079712
C17orf99-R	C17orf99		R		-0.9243053712474528	0.9243053712474448
DNM1-P-S774	DNM1	S774	P		0.8955946237452871	-0.8955946237452871
DRD3-R	DRD3		R		-0.8867022658161201	0.886702265816119
CAVIN2-P-S409	CAVIN2	S409	P		0.4688019203735229	-0.468801920373526
SRRM2-P-S1517-S1519	SRRM2	S1517|S1519	P		-0.984692364201025	0.984692364201025
STMP1-R	STMP1		R		-0.5568623685163101	0.5568623685163111
LAMB2-R	LAMB2		R		0.48042708480162	-0.480427084801637
CYP27C1-R	CYP27C1		R		0.567646137291138	-0.5676461372911489
NIFK-P-T234-T238	NIFK	T234|T238	P		-0.6801936711330571	0.6801936711330571
EIF4H-P-S13	EIF4H	S13	P		0.388924391166199	-0.388924391166199
MBD3-G	MBD3		G		-0.0825687093044343	0.0825687093044343
MBD4-G	MBD4		G		0.685103542822797	-0.685103542822797
NFIB-P-S312	NFIB	S312	P		-0.613384401513173	0.613384401513173
GLCCI1-P-S406	GLCCI1	S406	P		-0.8028316827930109	0.8028316827930121
AHNAK-P-S5763	AHNAK	S5763	P		-0.891925537519048	0.891925537519048
MBD1-G	MBD1		G		-0.012549557843987	0.0125495578439872
