ID	Symbols	Sites	Feature	Effect	HRD3Bvs2A_2A	HRD3Bvs2A_3B
AMPD2-R	AMPD2		R		-0.8807257440176379	0.880725744017637
PKN2-P-S302	PKN2	S302	P		-0.6834104471435191	0.6834104471435191
AFTPH-R	AFTPH		R		-0.930612838357215	0.930612838357217
TANC1-P-S270	TANC1	S270	P		0.8219508427879009	-0.8219508427879009
LRRN1-R	LRRN1		R		-0.947258838922604	0.947258838922598
CCNB3-R	CCNB3		R		0.404459646512056	-0.404459646512054
AHNAK-P-T651	AHNAK	T651	P		0.149389038505309	-0.149389038505309
RFPL1-R	RFPL1		R		0.486265288103741	-0.486265288103738
CAMSAP3-P-S905	CAMSAP3	S905	P		-0.950640621435305	0.950640621435306
LONRF3-R	LONRF3		R		0.43023633836041	-0.430236338360404
EIF4G1-P-S1216	EIF4G1	S1216	P		-0.47662499050645	0.47662499050645
ESYT2-P-S727	ESYT2	S727	P		0.428015828902796	-0.428015828902796
ARFGEF3-P-S471	ARFGEF3	S471	P		0.460106754302954	-0.460106754302952
ITGB4-P-S1517	ITGB4	S1517	P		-0.7777612713018709	0.77776127130187
PDE4D-P-S348	PDE4D	S348	P		0.464469005211111	-0.464469005211111
PGAM1-P-S118	PGAM1	S118	P		0.0934164677306153	-0.0934164677306163
MAGEA3-R	MAGEA3		R		-0.871045977690164	0.871045977690155
AC119676.1-R	AC119676.1		R		-0.512961465575086	0.512961465575085
NLRP11-P-S864-S869	NLRP11	S864|S869	P		0.947533112992614	-0.947533112992614
VIPAS39-P-S93	VIPAS39	S93	P		-0.695781383552583	0.695781383552583
PLPP6-P-S63	PLPP6	S63	P		0.8754082170715891	-0.8754082170715891
COL13A1-G	COL13A1		G		0.0754001652027758	-0.0754001652027756
TBC1D15-P-S666	TBC1D15	S666	P		0.3779683526416821	-0.3779683526416821
RHBDF1-P-S92	RHBDF1	S92	P		0.236747420625804	-0.236747420625804
SPDYC-R	SPDYC		R		-0.690418200844052	0.6904182008440539
SEC16A-P-S1347	SEC16A	S1347	P		-0.675146982039832	0.675146982039831
SIPA1L1-P-S288	SIPA1L1	S288	P		-0.7127223997236921	0.7127223997236921
QRICH2-R	QRICH2		R		-0.291485976487111	0.291485976487114
LAD1-P-S485	LAD1	S485	P		-0.232078348724299	0.232078348724299
SHANK2-P-S1661	SHANK2	S1661	P		-0.761873567529259	0.761873567529259
ATP13A5-R	ATP13A5		R		-0.6518139259650071	0.651813925965005
CHM-R	CHM		R		0.117005562963135	-0.117005562963133
MBP-P-S26	MBP	S26	P		0.428933857462631	-0.4289338574626289
MRPL48-R	MRPL48		R		-0.248676799177703	0.248676799177704
MISP-P-S543	MISP	S543	P		-0.786055815958467	0.786055815958467
DHFR-G	DHFR		G		-0.07215055655407	0.07215055655407
SETSIP-R	SETSIP		R		-0.2218017370582889	0.221801737058286
