ID	Symbols	Sites	Feature	Effect	HRD3Avs2A_3A
KDM4A-P-S410	KDM4A	S410	P		0.90898694296801
PARP4-P-S1434	PARP4	S1434	P		-0.90898694296801
LRWD1-R	LRWD1		R		0.6250481104444852
BAZ1B-P-S330	BAZ1B	S330	P		0.8614032797956047
ALKBH3-G	ALKBH3		G		0.5517677396596757
BARD1-R	BARD1		R		0.1735019680411283
ALKBH5-G	ALKBH5		G		0.1840496091203448
ATRX-P-S703	ATRX	S703	P		-0.9753365727335745
MLH3-R	MLH3		R		0.867962368071412
CCDC36-R	CCDC36		R		-0.10237155972064342
CDC5L-P-T424	CDC5L	T424	P		0.6142952558267958
HMCES-R	HMCES		R		0.32067166944112185
MDC1-P-S329	MDC1	S329	P		0.3714731886363623
MGMT-R	MGMT		R		0.7605354140048292
PLK1-R	PLK1		R		-0.977121984453409
TONSL-P-S719	TONSL	S719	P		0.6584784405253563
TOP2B-P-S1336	TOP2B	S1336	P		-0.857661436368084
RAD51C-R	RAD51C		R		0.4445352069820862
MDC1-P-S955	MDC1	S955	P		0.7440795520275432
BOD1L1-P-S1077	BOD1L1	S1077	P		0.5472759417335228
EP300-R	EP300		R		-0.6430301987885728
PARG-P-S291	PARG	S291	P		-0.9948843082085812
TCEA1-P-S100	TCEA1	S100	P		0.5443587649388988
UBB-R	UBB		R		-0.40429193098010086
ATRX-P-S974	ATRX	S974	P		-0.5327559037636848
LIG1-P-S4-S7	LIG1	S4|S7	P		-0.7343362615700626
EXD2-G	EXD2		G		0.9182077843557687
SHLD1-R	SHLD1		R		0.25493835208954696
TOP2B-P-S1400-S1413	TOP2B	S1400|S1413	P		0.9753365727335745
MDC1-R	MDC1		R		-0.8632274967245291
TP53BP1-P-S1002	TP53BP1	S1002	P		-0.6223857967272226
ASCC3-R	ASCC3		R		0.6063048596121683
MCM2-P-S41	MCM2	S41	P		-0.9982353614735362
ATRX-P-S1348	ATRX	S1348	P		0.8860785970473708
ATRIP-G	ATRIP		G		0.25614930479148285
XRCC1-P-S266	XRCC1	S266	P		0.9601392282449152
LRR1-R	LRR1		R		0.5128972731122272
UBE2T-P-S184	UBE2T	S184	P		0.3714731886363623
MCM4-P-S26	MCM4	S26	P		0.9601392282449152
DDB2-P-S26	DDB2	S26	P		0.525287664794334
POLR2A-P-S1910-S1917	POLR2A	S1910|S1917	P		-0.6584784405253563
TDP1-R	TDP1		R		0.22700217038854953
SUMO2-R	SUMO2		R		0.418675165131204
POLR2A-P-T1870	POLR2A	T1870	P		-0.8614032797956047
DHFR-G	DHFR		G		0.0751199309468603
FAM111A-G	FAM111A		G		0.725979430999794
GTF2H1-R	GTF2H1		R		-0.999613673239675
SUMO3-P-T37	SUMO3	T37	P		0.5472759417335228
PAXX-P-S148	PAXX	S148	P		0.937840152365561
ERCC8-R	ERCC8		R		0.8434458317958422
CDC25B-R	CDC25B		R		-0.8676779308267109
BOD1L1-P-T2956	BOD1L1	T2956	P		-0.857661436368084
DDB2-P-T148	DDB2	T148	P		0.7190629591371797
PLK3-R	PLK3		R		-0.2272971512003966
DNPH1-P-S123	DNPH1	S123	P		0.8937054791515471
WDR48-R	WDR48		R		0.10870955004631769
ALKBH3-R	ALKBH3		R		0.7070523618059757
PRKDC-P-S511	PRKDC	S511	P		0.7343362615700626
MCM9-R	MCM9		R		0.640357017682003
FANCL-R	FANCL		R		0.1328105774974694
ALKBH5-R	ALKBH5		R		0.6953025715744932
CHAF1A-G	CHAF1A		G		0.11060638883375948
GADD45G-R	GADD45G		R		0.10870955004631769
SMC5-R	SMC5		R		0.47569082600113943
TP53BP1-P-S1462	TP53BP1	S1462	P		0.9500245757133653
RMI2-G	RMI2		G		0.61549426635952
RPA3-R	RPA3		R		0.1563509231296052
RIF1-P-S2161	RIF1	S2161	P		-0.9753365727335745
RMI1-G	RMI1		G		-0.8898927280157353
MCM4-P-T23	MCM4	T23	P		0.737997580347521
NEIL3-R	NEIL3		R		0.7300023730560649
ATRX-P-S1352	ATRX	S1352	P		0.9029981092157063
BAZ1B-P-S349	BAZ1B	S349	P		0.9029981092157063
BAZ1B-G	BAZ1B		G		0.034708549959259434
RAD9B-R	RAD9B		R		0.333820350643415
DDB2-G	DDB2		G		0.5115414242967298
DDB1-G	DDB1		G		0.041908374633814596
SMARCC1-P-S330	SMARCC1	S330	P		-0.5327559037636848
BOD1L1-P-S482	BOD1L1	S482	P		0.7640417623207179
SETX-P-S2641	SETX	S2641	P		0.9900403001063334
PSMC3IP-R	PSMC3IP		R		-0.999613673239675
WDHD1-P-S407	WDHD1	S407	P		-0.9223900368430888
POT1-G	POT1		G		0.8938916556712242
PLK5-R	PLK5		R		0.7052893292661924
NTHL1-P-S22	NTHL1	S22	P		0.5472759417335228
MSH6-P-S9	MSH6	S9	P		0.8092962874817223
FANCD2-P-S592	FANCD2	S592	P		0.9982353614735362
ELOF1-G	ELOF1		G		0.016077102971390703
BRIP1-R	BRIP1		R		0.40429193098010086
SMARCAL1-P-S151	SMARCAL1	S151	P		-0.8622284028986348
WRN-G	WRN		G		0.7208199821876419
UFD1-P-S129	UFD1	S129	P		-0.7698383250499197
DHFR-R	DHFR		R		0.1735019680411283
RFC1-R	RFC1		R		0.4644558997686235
MRE11-R	MRE11		R		0.26527651647696904
MBD4-G	MBD4		G		-0.6820616518125613
MCRS1-G	MCRS1		G		0.725979430999794
EYA4-R	EYA4		R		-0.006740737990816443
GTF2H2-R	GTF2H2		R		0.7605354140048292
MCRS1-P-S85	MCRS1	S85	P		0.9774888945178857
BOD1L1-P-S2973	BOD1L1	S2973	P		0.815015040405608
EYA4-P-S274	EYA4	S274	P		0.8092962874817223
APEX1-G	APEX1		G		0.6011962354860703
MNAT1-R	MNAT1		R		0.3327682444721231
ATRX-P-S849	ATRX	S849	P		0.9829045200149196
FEN1-R	FEN1		R		0.19427514182815597
BABAM1-R	BABAM1		R		0.40429193098010086
RECQL5-P-S727	RECQL5	S727	P		0.525287664794334
POLR2A-P-S1910	POLR2A	S1910	P		0.5327559037636848
ORC3-R	ORC3		R		0.10237155972064342
ZNF451-G	ZNF451		G		0.8503650569884791
RIF1-G	RIF1		G		0.1570935111220714
MDM2-R	MDM2		R		0.7960128988272183
ORC1-P-T230	ORC1	T230	P		0.8201963497504219
GMNN-G	GMNN		G		0.3319086980371628
PALB2-P-S660	PALB2	S660	P		-0.8622284028986348
UBA52-R	UBA52		R		0.3850825905470897
COPS6-R	COPS6		R		0.3186751398656701
PTEN-P-S294	PTEN	S294	P		0.9300585406031507
DNTT-R	DNTT		R		0.8632274967245291
SUMO1-P-S2	SUMO1	S2	P		0.8614032797956047
TOP2A-P-S1247	TOP2A	S1247	P		0.7440795520275432
XPA-R	XPA		R		0.2603971632918417
NUDT18-G	NUDT18		G		-0.725979430999794
NUDT16-G	NUDT16		G		0.8686131336298266
NUDT15-G	NUDT15		G		0.7115042109857114
H2BC9-R	H2BC9		R		-0.8768641221659831
RRM1-R	RRM1		R		0.10870955004631769
EYA3-R	EYA3		R		-0.5331433399990338
PIAS4-G	PIAS4		G		0.61549426635952
MSH6-P-S41	MSH6	S41	P		0.4014986239459038
LIG1-P-S201	LIG1	S201	P		-0.9500245757133653
PIAS3-G	PIAS3		G		0.7705972854891864
TOP2B-P-S1452	TOP2B	S1452	P		-0.9881657854738162
LRWD1-P-S259	LRWD1	S259	P		0.6142952558267958
CDC25C-G	CDC25C		G		0.6326498158520301
MCM3-P-S672	MCM3	S672	P		0.525287664794334
PIAS1-G	PIAS1		G		0.07272076149668667
MSH6-G	MSH6		G		0.03191067689626489
PTEN-R	PTEN		R		0.999613673239675
MSH2-G	MSH2		G		0.03393894101675608
ASCC2-P-T233	ASCC2	T233	P		-0.6142952558267958
MSH3-G	MSH3		G		0.12636484627310482
POLR2A-R	POLR2A		R		-0.8290973520459985
TP53BP1-P-S1426-S1430	TP53BP1	S1426|S1430	P		0.9402623940673639
MSH5-G	MSH5		G		-0.1814033470160906
